ID	adj.P.Val	P.Value	t	B	logFC	RANGE_GB	RANGE_START	RANGE_END	RANGE_STRAND	GB_ACC	ORF
cg12891678	2.50e-32	1.75e-35	-17.861701	70.236866	-0.27747388					NM_006945.3	6703
cg05488632	2.50e-32	1.82e-35	17.853925	70.199197	0.43888581	NC_000019.8	15203545	15205922	-	NM_024794.1	79852
cg02677802	5.30e-32	4.04e-35	-17.690441	69.405443	-0.12437276	NC_000012.10	26713716	26714261	-	NT_009714.16	3709
cg18572014	1.51e-31	1.21e-34	-17.467838	68.319171	-0.18233362	NC_000018.8	49291754	49292333	+	NT_010966.13	1630
cg06437004	1.81e-31	1.58e-34	17.413322	68.052181	0.4808794	NC_000012.10	21701263	21702186	-	NM_002300.3	3945
cg27409364	1.81e-31	1.58e-34	17.412468	68.047994	0.35292503	NC_000011.8	17712319	17714962	+	NM_004976.2	3746
cg16812893	3.21e-31	2.92e-34	-17.288105	67.437505	-0.35213883					NM_181623.1	254950
cg04138756	3.21e-31	3.04e-34	-17.280499	67.400103	-0.40780626					NM_005416.1	6707
cg08668790	5.25e-31	5.15e-34	17.173616	66.873757	0.51377211	NC_000019.8	62911404	62912681	-	NM_003444.1	7710
cg19553463	8.43e-31	8.58e-34	-17.07093	66.36672	-0.14688251	NC_000018.8	49291754	49292333	+	NT_010966.13	1630
cg21825027	1.11e-30	1.17e-33	17.007885	66.054766	0.57059735	NC_000002.10	253250	255190	-	NM_015677.1	26751
cg06101324	1.37e-30	1.49e-33	-16.959523	65.815126	-0.26570177					NM_005987.2	6698
cg12493906	1.58e-30	1.78e-33	-16.924722	65.642501	-0.37513399					NM_021801.3	56547
cg11935147	2.72e-30	3.16e-33	16.809159	65.068183	0.33020655	NC_000001.9	143786718	143787617	-	NM_001002812.1	9659
cg04995095	2.82e-30	3.38e-33	-16.796052	65.002939	-0.25984851					NM_181449.1	342510
cg13897627	3.34e-30	4.13e-33	-16.755755	64.802215	-0.33867652					NM_207449.1	400535
cg07950803	3.78e-30	4.81e-33	-16.725528	64.651518	-0.32525731					NM_001763.1	909
cg18780284	3.91e-30	5.12e-33	-16.713063	64.589343	-0.37193482					NM_003125.1	6699
cg03602500	5.14e-30	6.92e-33	-16.653035	64.289647	-0.35466196	NC_000019.8	59739471	59739678	+	NM_033206.1	90011
cg00495491	7.81e-30	1.08e-32	-16.564594	63.847283	-0.18521178	NC_000012.10	26713716	26714261	-	NT_009714.16	3709
cg15657668	1.42e-29	2.02e-32	-16.440529	63.225107	-0.09636299	NC_000023.9	153309132	153310681	+	NM_001183.3	537
cg03914397	3.78e-29	5.54e-32	-16.240632	62.218678	-0.30034589	NC_000005.8	151764215	151764644	-	NM_020167.3	56923
cg15602809	3.78e-29	5.63e-32	-16.237487	62.202805	-0.09079318	NC_000001.9	237858935	237859495	+	NM_000740.2	1131
cg21284731	4.14e-29	6.32e-32	-16.214746	62.087994	-0.11633481	NC_000018.8	49291754	49292333	+	NT_010966.13	1630
cg08555657	5.15e-29	8.06e-32	-16.166895	61.846205	-0.30810404					NM_001024209.1	6704
cg04600618	8.48e-29	1.38e-31	16.061261	61.311459	0.5101317	NC_000006.10	43720593	43721485	+	NM_152732.2	221421
cg19787037	8.48e-29	1.39e-31	-16.060131	61.305733	-0.25172339					NM_016512.2	10407
cg25002911	1.26e-28	2.11e-31	-15.977557	60.886779	-0.17136672	NC_000013.9	47937627	47938195	+	NT_024524.13	5925
cg23391785	1.29e-28	2.20e-31	15.969669	60.846711	0.52258007	NC_000001.9	170076556	170078344	+	NM_015569.2	26052
cg12971694	1.37e-28	2.38e-31	-15.953875	60.766472	-0.31864855					NM_001782.1	971
cg10895543	1.37e-28	2.45e-31	15.948665	60.739997	0.46348936	NC_000009.10	21958106	21958899	-	NT_008413.17	1029
cg02655204	3.99e-28	7.26e-31	-15.736378	59.65846	-0.12258677	NC_000013.9	47937627	47938195	+	NT_024524.13	5925
cg03109316	4.68e-28	8.67e-31	-15.701671	59.481132	-0.39163447					NM_007136.1	7634
cg21643045	4.81e-28	9.09e-31	-15.692523	59.434369	-0.35474718					NM_004591.1	6364
cg23865698	4.87e-28	9.38e-31	-15.686314	59.402625	-0.29605779					NM_021197.2	58189
cg19982860	5.46e-28	1.07e-30	-15.660508	59.270636	-0.33423287					NM_002175.1	3452
cg00705255	7.94e-28	1.59e-30	-15.583942	58.878568	-0.15484674					NM_006865.2	11026
cg10853416	9.18e-28	1.87e-30	-15.552348	58.716589	-0.36894131					NM_021201.4	58475
cg19418515	9.79e-28	2.03e-30	-15.536347	58.634508	-0.16797932	NC_000015.8	65326443	65326651	+	NM_022784.1	64799
cg27071517	1.09e-27	2.29e-30	-15.512687	58.513087	-0.32096052					NM_181599.1	140258
cg25259754	1.13e-27	2.42e-30	-15.501995	58.458194	-0.1578247					NM_052939.3	115352
cg16122592	1.39e-27	3.04e-30	-15.458083	58.232615	-0.37751866					NM_173523.2	158809
cg25612480	1.43e-27	3.17e-30	-15.450121	58.191691	-0.39091846	NC_000008.9	49082930	49084059	+	NM_003350.2	7336
cg03504701	1.56e-27	3.52e-30	-15.429864	58.087534	-0.40644556					NM_004934.2	1016
cg23410113	1.83e-27	4.20e-30	-15.395427	57.91036	-0.12246334	NC_000002.10	201856922	201857713	+	NT_005403.16	841
cg10910775	2.33e-27	5.51e-30	-15.343088	57.640819	-0.15324827	NC_000017.9	42621032	42622125	-	NM_001256.2	996
cg24027342	2.33e-27	5.51e-30	-15.342953	57.640125	-0.12553347	NC_000011.8	107636521	107637082	+	NT_033899.7	472
cg02284188	2.68e-27	6.43e-30	-15.313002	57.485741	-0.26632441					NM_020358.2	57093
cg15014458	2.75e-27	6.77e-30	15.303292	57.435668	0.30411057					NM_014400.1	27076
cg03960217	2.75e-27	6.79e-30	-15.302693	57.432578	-0.22704986					NM_178429.2	353140
cg08878744	3.35e-27	8.40e-30	-15.261577	57.220431	-0.29010905					NM_178349.1	353132
cg03705396	4.00e-27	1.02e-29	15.224647	57.02972	0.42914633	NC_000003.10	185025099	185026684	-	NM_024871.1	79929
cg02784874	5.57e-27	1.44e-29	-15.15801	56.685204	-0.31039069					NM_000226.2	3857
cg17738194	5.94e-27	1.56e-29	-15.14285	56.606759	-0.24585962	NC_000004.10	80548404	80548638	-	NM_033214.2	2712
cg14162076	6.29e-27	1.67e-29	-15.129336	56.536805	-0.37734119	NC_000012.10	8556211	8556415	+	NM_080387.4	338339
cg04574507	6.31e-27	1.70e-29	-15.126021	56.519646	-0.26303225					NM_001764.1	910
cg03741352	7.52e-27	2.05e-29	-15.089852	56.332312	-0.31775626					NM_178434.1	353144
cg00895324	7.94e-27	2.19e-29	-15.076752	56.264427	-0.29098016					NM_006198.2	5121
cg14533138	1.06e-26	2.96e-29	-15.019037	55.965114	-0.40653682	NC_000017.9	36779251	36779455	-	NM_002279.3	3884
cg05480532	1.15e-26	3.27e-29	-15.000371	55.868235	-0.09747229	NC_000004.10	68512566	68512945	-	NM_182606.2	339967
cg15552238	1.27e-26	3.66e-29	-14.978491	55.754623	-0.17736546					NM_032571.2	84658
cg03826976	1.30e-26	3.78e-29	14.972501	55.723506	0.29005224	NC_000011.8	7651155	7652414	-	NM_016229.2	51700
cg15531099	1.33e-26	3.90e-29	-14.966232	55.690944	-0.29815045					NM_178352.1	353134
cg07947016	1.66e-26	4.96e-29	-14.920492	55.453206	-0.2218693					NM_005551.3	3817
cg04505023	1.76e-26	5.31e-29	-14.907165	55.383895	-0.39355843					NM_005987.2	6698
cg01962826	2.02e-26	6.16e-29	-14.878955	55.237116	-0.43658892	NC_000006.10	34208803	34209092	-	NM_000841.1	2914
cg07265310	2.11e-26	6.51e-29	-14.868161	55.18093	-0.32494662					NM_173352.1	196374
cg16431978	2.81e-26	8.80e-29	-14.81078	54.88204	-0.24446475					NM_181622.1	337960
cg16744741	2.85e-26	9.02e-29	-14.805903	54.856624	-0.33331913					NM_006259.1	5593
cg26813458	2.88e-26	9.23e-29	-14.801559	54.833978	-0.37784864					NM_002483.3	4680
cg25720804	2.88e-26	9.33e-29	14.799466	54.823064	0.53078425	NC_000005.8	170667594	170672661	+	NM_021025.2	30012
cg07752420	3.02e-26	9.89e-29	14.788482	54.765797	0.43625287	NC_000009.10	21958106	21958899	-	NT_008413.17	1029
cg14399656	3.14e-26	1.04e-28	-14.778845	54.715542	-0.08808317	NC_000019.8	41871209	41871923	+	NM_152603.2	163081
cg24870391	3.41e-26	1.14e-28	-14.76097	54.6223	-0.29945132					NM_002986.2	6356
cg16303562	3.76e-26	1.27e-28	-14.740535	54.515659	-0.24584533					NM_002445.2	4481
cg10370591	4.23e-26	1.45e-28	-14.715885	54.386968	-0.30695333					NM_000547.3	7173
cg25033144	4.75e-26	1.66e-28	-14.689732	54.250354	-0.41246986					NM_033206.1	90011
cg15787039	4.75e-26	1.66e-28	14.689724	54.250314	0.26646889	NC_000015.8	30721114	30721502	+	NM_003020.1	6447
cg00503840	4.86e-26	1.71e-28	14.68365	54.218572	0.33557077	NC_000007.12	96487969	96489640	-	NT_007933.14	1749
cg17703554	5.93e-26	2.11e-28	-14.643522	54.008794	-0.3090898	NC_000008.9	88954770	88955987	-	NM_152418.2	138009
cg05126264	6.23e-26	2.24e-28	-14.632251	53.949839	-0.30107009					NM_002176.2	3456
cg18967533	6.39e-26	2.32e-28	-14.625756	53.915864	-0.3071236					NM_002774.3	5653
cg00152644	6.58e-26	2.42e-28	-14.618121	53.875914	-0.37475615					NM_001024209.1	6704
cg25545210	7.57e-26	2.81e-28	-14.589494	53.726079	-0.40081566					NM_021013.3	3885
cg06428055	8.75e-26	3.28e-28	14.560212	53.572725	0.52878647	NC_000023.9	129071186	129073330	-	NM_001421.1	2000
cg07841014	8.80e-26	3.33e-28	-14.557281	53.557373	-0.34125771					NM_006507.2	5968
cg20095587	9.50e-26	3.63e-28	-14.540855	53.471301	-0.41290272					NM_018965.1	54209
cg04774694	9.71e-26	3.76e-28	-14.534181	53.436323	-0.18265948					NM_022355.1	64174
cg01074640	9.71e-26	3.78e-28	-14.533171	53.431031	-0.32494773					NM_021268.1	3451
cg03975694	1.03e-25	4.05e-28	14.520096	53.362487	0.4006275	NC_000019.8	42733846	42734771	+	NM_152606.2	163255
cg00138126	1.33e-25	5.26e-28	-14.470477	53.102219	-0.31117641					NM_020182.3	56937
cg15983005	1.36e-25	5.43e-28	-14.464152	53.069024	-0.40239552					NM_004138.2	3883
cg27478659	1.52e-25	6.11e-28	-14.44176	52.951469	-0.31559863					NM_005557.2	3868
cg07545232	1.55e-25	6.31e-28	-14.435833	52.920344	-0.37905875	NC_000023.9	151688663	151689075	-	NM_005362.3	4102
cg24169915	1.55e-25	6.37e-28	-14.433922	52.910308	-0.13321596					NM_182560.1	283598
cg00601486	1.55e-25	6.43e-28	-14.432194	52.901234	-0.41513536	NC_000012.10	47009414	47010208	+	NM_181788.1	341567
cg06196379	1.64e-25	6.84e-28	-14.420442	52.839503	-0.20632658					NM_018643.2	54210
cg22478614	1.65e-25	6.97e-28	-14.417032	52.821592	-0.25319819					NM_004942.2	1673
cg17740305	1.65e-25	7.01e-28	-14.415725	52.814723	-0.17084656	NC_000001.9	89510681	89511013	-	NM_052942.2	115362
cg06392096	1.69e-25	7.27e-28	-14.408996	52.779372	-0.13273263					NM_181879.1	353514
cg12150401	1.84e-25	7.95e-28	-14.391967	52.689879	-0.28926913					NM_016945.2	50833
cg19226099	1.91e-25	8.32e-28	-14.383354	52.644607	-0.30202482	NC_000020.9	54257417	54258345	+	NM_019888.2	4159
cg18343292	1.95e-25	8.58e-28	-14.377476	52.613703	-0.15328295					NM_021201.4	58475
cg16514843	2.00e-25	8.87e-28	-14.371185	52.580628	-0.32595975					NM_006193.1	5078
cg22861316	2.04e-25	9.12e-28	-14.366014	52.553438	-0.39888421					NM_001445.1	2172
cg22496652	2.29e-25	1.03e-27	-14.342765	52.431151	-0.16293382	NC_000009.10	91284114	91284668	-	NM_006378.2	10507
cg02813121	2.32e-25	1.06e-27	-14.337666	52.40432	-0.3842304					NM_005621.1	6283
cg13397379	2.32e-25	1.06e-27	-14.337344	52.40263	-0.35187352					NM_198074.3	81472
cg25839766	2.39e-25	1.11e-27	-14.32957	52.36172	-0.35287715					NM_006905.2	5669
cg09555879	2.45e-25	1.14e-27	-14.323735	52.331014	-0.37373857					NM_002088.3	2901
cg09260089	2.46e-25	1.15e-27	14.321459	52.319034	0.48621302	NC_000010.9	134447362	134452718	-	NM_177400.1	84504
cg21349901	2.72e-25	1.29e-27	-14.301067	52.211683	-0.1527417	NC_000007.12	4596914	4597240	-	NM_001007236.1	64006
cg04958389	2.86e-25	1.36e-27	-14.290413	52.155581	-0.33404055					NM_002770.2	5645
cg01772980	3.77e-25	1.81e-27	-14.236703	51.872582	-0.28649045					NM_006552.1	10648
cg01668126	3.90e-25	1.90e-27	-14.227617	51.824681	-0.27906716					NM_002445.2	4481
cg10129493	3.90e-25	1.90e-27	-14.227373	51.823395	-0.34629922					NM_001772.2	945
cg08970694	4.63e-25	2.27e-27	-14.19359	51.645207	-0.22615282					NM_005330.3	3046
cg10335112	4.92e-25	2.43e-27	-14.180712	51.577257	-0.24747122					NM_053280.3	113746
cg13300756	5.08e-25	2.53e-27	-14.173271	51.537984	-0.36066382	NC_000019.8	56919725	56919930	-	NM_001523.1	3036
cg26986815	5.38e-25	2.72e-27	-14.159599	51.465814	-0.10727063	NC_000002.10	201856922	201857713	+	NT_005403.16	841
cg11102782	5.38e-25	2.72e-27	14.159565	51.465634	0.43592056	NC_000019.8	18407006	18410264	-	NM_016368.3	51477
cg17827767	6.14e-25	3.13e-27	-14.133012	51.325416	-0.3120674					NM_015613.1	26103
cg27214365	6.14e-25	3.15e-27	-14.132117	51.320688	-0.34836057					NM_002100.3	2994
cg25384595	7.68e-25	3.99e-27	-14.087155	51.083095	-0.23747278					NM_006863.1	11024
cg03561565	7.68e-25	3.99e-27	14.087104	51.082826	0.2462336	NC_000008.9	99507518	99509796	+	NM_020697.2	3788
cg10807560	8.69e-25	4.55e-27	-14.062679	50.953674	-0.36246595					NM_021097.1	6546
cg04726446	8.74e-25	4.60e-27	14.060305	50.941116	0.42090788	NC_000002.10	26477981	26478856	+	NM_145038.1	92749
cg10127415	9.20e-25	4.88e-27	-14.049311	50.882963	-0.30164634					NM_173523.2	158809
cg13928961	9.61e-25	5.14e-27	-14.039757	50.83242	-0.37097686					NM_175068.2	319101
cg25093045	1.04e-24	5.58e-27	-14.024214	50.750165	-0.25104723	NC_000004.10	6041328	6041558	-	NM_207405.1	389197
cg23674788	1.06e-24	5.76e-27	-14.01826	50.718652	-0.3730355					NM_002278.2	3882
cg12348970	1.10e-24	5.99e-27	-14.010854	50.679446	-0.3195866					NM_020344.1	25769
cg14236389	1.13e-24	6.18e-27	-14.004977	50.648336	-0.30605981	NC_000020.9	58064366	58064704	+	NM_173644.1	284756
cg14988503	1.13e-24	6.23e-27	14.003525	50.640645	0.47509958	NC_000004.10	76774245	76775285	-	NM_003948.2	8999
cg22375192	1.24e-24	6.89e-27	13.98463	50.540588	0.49076798	NC_000015.8	97007820	97012261	+	NM_000875.2	3480
cg15627025	1.25e-24	7.02e-27	-13.980986	50.521288	-0.32866593	NC_000019.8	60019463	60019852	+	NM_013289.1	3811
cg02787991	1.26e-24	7.08e-27	13.979467	50.51324	0.44469186	NC_000017.9	77884007	77885776	-	NM_003004.1	6398
cg00958560	1.26e-24	7.12e-27	-13.978341	50.507277	-0.33206447					NM_207405.1	389197
cg11161417	1.26e-24	7.21e-27	-13.975977	50.494757	-0.24968688					NM_173847.2	124912
cg06914598	1.29e-24	7.43e-27	13.970297	50.464665	0.22804099	NC_000007.12	5051158	5051684	+	NM_021163.2	57786
cg06244417	1.32e-24	7.66e-27	-13.96451	50.434006	-0.32614635					NM_002003.2	2219
cg17718302	1.32e-24	7.69e-27	13.963743	50.429944	0.47450712	NC_000006.10	27966061	27967036	-	NM_003535.2	8356
cg17357062	1.41e-24	8.27e-27	-13.950197	50.358161	-0.29761897					NM_002003.2	2219
cg13758677	1.51e-24	8.92e-27	-13.936028	50.283062	-0.3173087	NC_000023.9	49101965	49102205	+	NM_001474.1	2576
cg03022541	1.52e-24	9.03e-27	-13.933727	50.270863	-0.3059659					NM_153330.2	165721
cg16998872	1.58e-24	9.43e-27	-13.92552	50.227353	-0.34520718					NM_002102.2	2996
cg21230133	1.64e-24	9.90e-27	-13.916316	50.178547	-0.38573162	NC_000017.9	36807010	36807222	-	NM_002277.2	3881
cg05675373	1.64e-24	9.93e-27	13.915911	50.176399	0.40491669	NC_000001.9	110553667	110556441	+	NM_004978.2	3749
cg27344326	1.65e-24	1.00e-26	-13.913928	50.165887	-0.34807368	NC_000023.9	72014516	72014901	-	NM_033053.1	63947
cg22984277	1.66e-24	1.01e-26	-13.912255	50.157012	-0.15643213	NC_000012.10	8585203	8585572	-	NM_014358.1	26253
cg19623751	1.72e-24	1.05e-26	-13.904639	50.116622	-0.30949476					NM_006890.1	1087
cg26087862	2.00e-24	1.24e-26	-13.874849	49.958572	-0.16420762	NC_000001.9	148868038	148869531	-	NM_004436.2	2029
cg12339029	2.23e-24	1.39e-26	-13.852831	49.841707	-0.3025159					NM_079420.1	4632
cg00213044	2.24e-24	1.40e-26	-13.851136	49.832706	-0.29990799					NM_058242.1	140446
cg12078929	2.37e-24	1.49e-26	13.839618	49.771552	0.38371778	NC_000022.9	41225823	41227067	+	NM_170694.1	94009
cg18766755	2.38e-24	1.50e-26	-13.837972	49.762812	-0.20558023					NM_005988.2	6700
cg11009736	2.48e-24	1.59e-26	-13.82785	49.709059	-0.22779052					NM_006770.3	8685
cg02658251	2.48e-24	1.59e-26	-13.827761	49.708582	-0.31812411					NM_004942.2	1673
cg22951794	2.48e-24	1.60e-26	-13.826909	49.704061	-0.378043					NM_178168.1	144124
cg17327492	3.04e-24	1.97e-26	-13.787582	49.49511	-0.30737704					NM_181446.1	2492
cg12682367	3.04e-24	1.98e-26	-13.78678	49.490849	-0.26286522					NM_207439.2	400110
cg27420123	3.15e-24	2.06e-26	-13.778861	49.448754	-0.20735369					NM_000510.2	2488
cg09841009	3.20e-24	2.11e-26	-13.774658	49.426413	-0.34309085					NM_002099.3	2993
cg18555440	3.67e-24	2.43e-26	13.748269	49.286097	0.39935098	NC_000011.8	17696873	17700534	+	NM_002478.3	4654
cg26829529	3.86e-24	2.56e-26	-13.73795	49.231208	-0.17319186					NM_173847.2	124912
cg24110050	3.87e-24	2.59e-26	13.736333	49.222606	0.32990686	NC_000001.9	66990232	66990994	+	NM_152665.1	200132
cg10377274	3.90e-24	2.62e-26	-13.73376	49.208921	-0.36009458					NM_138294.2	160065
cg07258507	3.96e-24	2.68e-26	-13.730024	49.189042	-0.29562771					NM_022789.2	64806
cg01215061	4.02e-24	2.73e-26	-13.726091	49.168118	-0.34092362	NC_000023.9	89063584	89064219	+	NM_138960.3	90316
cg23413307	4.25e-24	2.90e-26	-13.714643	49.107205	-0.3637929					NM_178354.1	353137
cg25107903	4.25e-24	2.92e-26	-13.713579	49.101541	-0.17876488					NM_016512.2	10407
cg11653709	4.38e-24	3.02e-26	13.707143	49.067291	0.27877038	NC_000009.10	21958106	21958899	-	NT_008413.17	1029
cg00280894	4.38e-24	3.04e-26	-13.706066	49.061557	-0.25219321					NM_022053.1	56001
cg23350580	4.49e-24	3.13e-26	-13.700568	49.032294	-0.25100989					NM_001001418.2	414060
cg13102585	4.65e-24	3.26e-26	13.692957	48.991778	0.30778325	NC_000017.9	39741388	39741995	+	NM_006695.3	10900
cg12949760	4.81e-24	3.39e-26	-13.685747	48.953394	-0.30872218	NC_000011.8	2498865	2499473	+	NT_009237.17	3784
cg00750606	4.96e-24	3.51e-26	-13.679106	48.918035	-0.25497401					NM_001785.1	978
cg13407883	5.12e-24	3.66e-26	-13.671241	48.876152	-0.33437539					NM_014441.1	27180
cg02423618	5.12e-24	3.66e-26	-13.671233	48.87611	-0.26344617					NM_173499.2	145946
cg23563234	5.17e-24	3.72e-26	13.66838	48.860917	0.37952144	NC_000005.8	140777221	140777959	+	NM_018927.2	56099
cg21991396	5.31e-24	3.84e-26	-13.662343	48.828764	-0.32168047					NM_183395.1	114548
cg27504299	5.34e-24	3.88e-26	-13.660342	48.818102	-0.35898254					NM_004918.2	9623
cg23001457	5.40e-24	3.95e-26	-13.657391	48.802386	-0.23499703	NC_000011.8	18912484	18912910	-	NM_147199.2	259249
cg04901273	5.43e-24	3.99e-26	-13.6554	48.791781	-0.23186					NM_032258.1	84218
cg03070194	5.89e-24	4.34e-26	13.639427	48.706683	0.38926473					NM_000848.2	2946
cg06353345	5.93e-24	4.40e-26	-13.637012	48.693816	-0.21423651					NM_033179.1	79339
cg14826683	6.06e-24	4.54e-26	-13.631239	48.66305	-0.25524817					NM_006945.3	6703
cg16192029	6.06e-24	4.54e-26	-13.63113	48.662469	-0.46435902	NC_000007.12	117651804	117652144	+	NM_019644.1	56311
cg25462303	6.34e-24	4.77e-26	-13.621765	48.612562	-0.18361662					NM_152785.3	257144
cg03782453	6.96e-24	5.26e-26	13.603532	48.515362	0.27707748	NC_000004.10	7094413	7097016	-	NM_153376.1	257236
cg15408454	7.02e-24	5.33e-26	-13.601111	48.502456	-0.35362989	NC_000023.9	151617742	151618072	+	NM_005363.2	4105
cg02812142	7.36e-24	5.62e-26	-13.591453	48.450959	-0.21075638					NM_138326.1	130013
cg12188860	7.43e-24	5.70e-26	-13.588774	48.436674	-0.3673163	NC_000008.9	144487548	144488685	-	NM_052963.1	116447
cg22039846	7.57e-24	5.84e-26	-13.584216	48.412362	-0.30911099	NC_000019.8	59972811	59973197	+	NM_014218.1	3802
cg14757296	8.01e-24	6.20e-26	-13.572857	48.35178	-0.14195658	NC_000003.10	50324664	50324941	-	NM_007312.3	3373
cg07297178	8.03e-24	6.25e-26	-13.571598	48.345064	-0.3377494					NM_006890.1	1087
cg17928268	8.10e-24	6.34e-26	-13.568908	48.330714	-0.26488875					NM_080830.2	140880
cg24949488	8.10e-24	6.36e-26	-13.568277	48.327346	-0.29510603	NC_000010.9	98054238	98054478	+	NM_004088.3	1791
cg17281600	8.20e-24	6.47e-26	-13.565117	48.31049	-0.31394748					NM_031282.1	83417
cg13118849	8.60e-24	6.81e-26	-13.555358	48.258422	-0.39122758					NM_004386.1	1463
cg24765446	9.27e-24	7.38e-26	-13.540462	48.178928	-0.28149293					NM_080827.1	140870
cg23293787	9.88e-24	7.90e-26	13.527713	48.110878	0.07419191	NC_000020.9	49007725	49009844	-	NM_003859.1	8813
cg19140639	1.01e-23	8.10e-26	-13.523196	48.086769	-0.3105707					NM_138960.3	90316
cg14911395	1.17e-23	9.42e-26	-13.494907	47.93571	-0.355324	NC_000003.10	50285369	50286362	+	NT_022517.17	7869
cg26312920	1.17e-23	9.46e-26	-13.494193	47.931896	-0.20262223					NM_022728.2	63974
cg25608041	1.22e-23	9.95e-26	13.484662	47.880987	0.25521363	NC_000004.10	37567883	37569855	+	NM_015173.2	23216
cg08321346	1.27e-23	1.04e-25	13.477095	47.84056	0.33131335	NC_000002.10	241145163	241146539	-	NM_016552.2	51281
cg25072962	1.27e-23	1.04e-25	-13.475616	47.832661	-0.24937768	NC_000011.8	60280945	60281190	+	NM_152717.1	219995
cg03014957	1.29e-23	1.06e-25	-13.47274	47.817295	-0.21131581					NM_054112.1	117285
cg23743472	1.33e-23	1.11e-25	-13.465117	47.776565	-0.3366285					NM_212555.1	399967
cg04711324	1.45e-23	1.21e-25	-13.448761	47.689154	-0.39971933	NC_000018.8	38949361	38949658	-	NM_002930.1	6014
cg11052143	1.52e-23	1.27e-25	13.43898	47.636868	0.25215201	NC_000002.10	202191787	202192348	-	NM_152525.3	151254
cg03872376	1.60e-23	1.35e-25	-13.428338	47.579971	-0.26460928					NM_021186.2	57829
cg20616414	1.82e-23	1.54e-25	13.403587	47.447611	0.44055116	NC_000009.10	94985882	94988045	+	NM_006648.3	65268
cg02755525	1.94e-23	1.65e-25	13.391032	47.380451	0.52778638	NC_000016.8	45734160	45736135	-	NM_018092.3	81831
cg14659547	2.11e-23	1.79e-25	-13.375081	47.295102	-0.34030489					NM_032579.1	84666
cg23458892	2.22e-23	1.90e-25	-13.364746	47.239791	-0.31205966	NC_000019.8	56337775	56337976	+	NM_014385.1	27036
cg00501366	2.39e-23	2.05e-25	-13.350069	47.161233	-0.28962841					NM_001139.1	242
cg04431776	2.53e-23	2.18e-25	-13.338654	47.100117	-0.32219945	NC_000023.9	49112981	49114113	+	NM_001472.1	2574
cg15092802	2.56e-23	2.22e-25	-13.335588	47.083704	-0.28356561					NM_014582.1	29991
cg24861272	2.71e-23	2.36e-25	-13.324215	47.022803	-0.11121552	NC_000010.9	31647064	31650188	+	NM_030751.2	6935
cg10235817	3.08e-23	2.69e-25	13.299778	46.891902	0.35859473	NC_000004.10	3736799	3739691	+	NM_000683.3	152
cg20131968	3.43e-23	3.01e-25	-13.279007	46.780605	-0.18286752					NM_020198.1	57003
cg26776077	3.54e-23	3.11e-25	-13.272605	46.746297	-0.31714449					NM_207507.1	401508
cg02332073	3.60e-23	3.18e-25	-13.268575	46.724698	-0.18862674					NM_052933.2	114960
cg17405586	3.67e-23	3.26e-25	-13.264119	46.700813	-0.2380862					NM_006121.2	3848
cg12200412	3.69e-23	3.29e-25	-13.262195	46.690495	-0.14087205					NM_030893.1	913
cg09448880	3.73e-23	3.34e-25	-13.259478	46.675934	-0.31728775					NM_052891.1	114771
